TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
2004,2004,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2206808,
2014,2014,TRA,Kuzeydogu Anadolu,Total,Total,Number,2207602,
2003,2003,RO32,Bucuresti - Ilfov,Total,Total,Number,2208150,
2004,2004,RO32,Bucuresti - Ilfov,Total,Total,Number,2208254,
2003,2003,UKH1,East Anglia,Total,Total,Number,2208463,
2007,2007,LV,Latvia,Total,Total,Number,2208840,
2007,2007,LV0,Latvija,Total,Total,Number,2208840,
2007,2007,LV00,Latvija,Total,Total,Number,2208840,
1995,1995,FRJ1,Languedoc-Roussillon,Total,Total,Number,2209034,
1995,1995,FR81,Languedoc-Roussillon (NUTS 2013),Total,Total,Number,2209034,
1991,1991,NL41,Noord-Brabant,Total,Total,Number,2209047,
2000,2000,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2209083,
2005,2005,RO32,Bucuresti - Ilfov,Total,Total,Number,2209768,
2012,2012,IE06,Eastern and Midland,Total,Total,Number,2210108,
2008,2008,PL63,Pomorskie,Total,Total,Number,2210920,
2008,2008,TRA,Kuzeydogu Anadolu,Total,Total,Number,2212759,
2002,2002,RO32,Bucuresti - Ilfov,Total,Total,Number,2213782,
2006,2006,RO32,Bucuresti - Ilfov,Total,Total,Number,2215701,
1990,1990,BG41,Yugozapaden,Total,Total,Number,2216396,
2013,2013,IE06,Eastern and Midland,Total,Total,Number,2219296,
2009,2009,PL63,Pomorskie,Total,Total,Number,2219512,
2011,2011,UKE4,West Yorkshire,Total,Total,Number,2220015,
2009,2009,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2221257,
1991,1991,PL31,Lubelskie (NUTS 2013),Total,Total,Number,2221891,
2018,2018,TRC3,"Mardin, Batman, Sirnak, Siirt",Total,Total,Number,2222601,
2018,2018,DEE,Sachsen-Anhalt,Total,Total,Number,2223081,
2018,2018,DEE0,Sachsen-Anhalt,Total,Total,Number,2223081,
2016,2016,DE13,Freiburg,Total,Total,Number,2224535,
2010,2010,TR52,"Konya, Karaman",Total,Total,Number,2224547,
1992,1992,NL41,Noord-Brabant,Total,Total,Number,2225331,
2013,2013,TRA,Kuzeydogu Anadolu,Total,Total,Number,2226155,
