Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
2000,BE25,Prov. West-Vlaanderen,22900,25848924600,2,17943,20253530000,1128774,BE
2000,BE31,Prov. Brabant wallon,24000,8397216000,2,22359,7822910000,349884,BE
2000,BE32,Prov. Hainaut,16200,20727365400,2,14142,18093610000,1279467,BE
2000,BE33,Prov. Liège,18200,18553844400,2,15259,15556170000,1019442,BE
2000,BE34,Prov. Luxembourg (BE),17400,4294668000,2,15064,3718000000,246820,BE
2000,BE35,Prov. Namur,16800,7457570400,2,16166,7176060000,443903,BE
2000,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2001,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,50900,49088214500,2,18688,18022820000,964405,BE
2001,BE21,Prov. Antwerpen,28900,47559342800,2,20121,33112449999.999996,1645652,BE
2001,BE22,Prov. Limburg (BE),20800,16531528000,2,17745,14103290000,794785,BE
2001,BE23,Prov. Oost-Vlaanderen,21600,29455315200,2,20254,27619720000,1363672,BE
2001,BE24,Prov. Vlaams-Brabant,25800,26274797400,2,24097,24540910000,1018403,BE
2001,BE25,Prov. West-Vlaanderen,23400,26442936000,2,18439,20836540000,1130040,BE
2001,BE31,Prov. Brabant wallon,24900,8765248200,2,22934,8073050000,352018,BE
2001,BE32,Prov. Hainaut,16500,21117079500,2,14460,18505800000,1279823,BE
2001,BE33,Prov. Liège,18500,18870777000,2,15726,16040870000,1020042,BE
2001,BE34,Prov. Luxembourg (BE),17400,4328250000,2,15673,3898760000,248750,BE
2001,BE35,Prov. Namur,17300,7712755200,2,16656,7425530000,445824,BE
2001,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2002,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,52600,51462998400,2,18840,18432890000,978384,BE
2002,BE21,Prov. Antwerpen,30400,50234480000,2,20558,33971440000.000004,1652450,BE
2002,BE22,Prov. Limburg (BE),21700,17329251100,2,18056,14419410000,798583,BE
2002,BE23,Prov. Oost-Vlaanderen,22800,31159665600,2,20742,28347050000,1366652,BE
2002,BE24,Prov. Vlaams-Brabant,26200,26797910200,2,24765,25329660000,1022821,BE
2002,BE25,Prov. West-Vlaanderen,24300,27514282500,2,18809,21296650000,1132275,BE
2002,BE31,Prov. Brabant wallon,26200,9306423400,2,23434,8323760000,355207,BE
2002,BE32,Prov. Hainaut,17000,21777714000,2,14768,18917960000,1281042,BE
2002,BE33,Prov. Liège,19100,19560883000,2,16137,16526160000,1024130,BE
