Country,GDPDispersion,Income Dispersion (I am unsure about Eurostat income data).,"GDP Theil Index (unsafe, do not use without verification).","Income Theil Index (unsafe, do not use without verification).",Year,RegionsConsideredForIncome,RegionsConsideredForGDP
Low Countries,20.3,9.1,0.00144,0.00774,2004,0,23
Low Countries,20.9,9.1,0.00147,0.00771,2005,0,23
Low Countries,20.6,9.1,0.0014,0.00741,2006,0,23
Low Countries,20.7,9.2,0.00139,0.00743,2007,0,23
Low Countries,20.8,9.2,0.00137,0.00711,2008,0,23
Low Countries,20.4,9.4,0.00142,0.00727,2009,0,23
Low Countries,19.9,9.5,0.00136,0.00764,2010,0,23
Low Countries,19.2,9,0.00128,0.00733,2011,0,23
Low Countries,19.4,9.4,0.0013,0.00785,2012,0,23
Low Countries,19.5,9.3,0.00132,0.00784,2013,0,23
Low Countries,19,9.4,0.0013,0.00799,2014,0,23
Low Countries,19.3,9,0.00132,0.00727,2015,0,23
Low Countries,18.8,9,0.0013,0.00693,2016,0,23
Low Countries,18.7,9.1,0.00129,0.007,2017,0,23
Low Countries,18.7,NaN,0.00127,NaN,2018,0,23
